,added_at,artist_ids,artists,id,name,release_date
74,2019-07-15T04:37:25Z,4dpARuHxo51G3z768sgnrY,Adele,2rnvHrNnkWMcAkl4S1WlRg,Lovesong,2011-01-19
75,2019-07-15T04:33:43Z,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,3GJ4hzg4lrGwU51Y3VARbF,Speechless,2018-06-22
76,2019-07-15T04:30:05Z,5cKlE8f6b26h61Ml7m052Q,Haley Reinhart,0Rm2G83ELwkuEgpHlJcBPn,Can't Help Falling in Love,2015-10-09
77,2019-07-15T04:27:48Z,6s22t5Y3prQHyaHWUN1R1C,AJR,7jwZYPS8reDirsT4Mvqpui,Location - Recorded at Spotify Studios NYC,2017-08-02
78,2019-07-15T04:26:17Z,"5X4LWwbUFNzPkEas04uU82, 05LTJdcIWfHyQXC1za07k8","DVBBS, BRIDGE",6Ghd3CbFigfo84MHAFrQfT,GOMF,2019-05-03
79,2019-07-15T04:21:49Z,"4IVAbR2w4JJNJDDRFP3E83, 1VBAKMui4zm5MnBWNn3NbL","6LACK, Devault",2TRAOLPQMvFM7kq8MHyizc,Switch - DEVAULT Remix,2018-11-16
80,2019-07-15T04:16:50Z,"13y7CgLHjMVRMDqxdx0Xdo, 1uNFoZAHBGtllmzznpCI3s","Gucci Mane, Justin Bieber",3dxioHwH6wvCkQwt0rgvQt,Love Thru The Computer (feat. Justin Bieber),2019-06-21
81,2019-07-14T05:02:10Z,"0c173mlxpT3dSFRgMO8XPh, 0iEtIxbK0KxaSlF7G42ZOp, 3u579Gdap91lMptBSdXTpf","Big Sean, Metro Boomin, Kash Doll",0fWBFDRTIuk8ZgNdZqhCer,So Good (& Metro Boomin),2017-12-08
82,2019-07-14T05:00:32Z,"1pPmIToKXyGdsCF6LmqLmI, 757aE44tKEUQEqRuT6GnEB","Rich The Kid, Roddy Ricch",00ZOTUEICalXDTOWq6iJCq,Go Up (feat. Roddy Ricch),2019-07-12
83,2019-07-14T04:51:32Z,"67nwj3Y5sZQLl72VNUHEYE, 3KV3p5EY4AvKxOlhGHORLg","Wale, Jeremih",3TXKwYk2H7hZQFB0j8z4yq,On Chill (feat. Jeremih),2019-07-12
84,2019-07-14T04:49:18Z,"1RyvyyTE3xzB2ZywiAwp0i, 20sxb77xiYeusSH8cVdatc, 6aLoJJxz7MV2iZ423S8tJC","Future, Meek Mill, Doe Boy",2j7mcsEz4n5XxMMqqjjB6p,100 Shooters (feat. Meek Mill & Doe Boy),2019-07-12
85,2019-07-14T04:49:12Z,"6eUKZXaKkcviH0Ku9w2n3V, 0Y5tJX1MQlPlqiwlOH1tJY","Ed Sheeran, Travis Scott",0Tdh0VTkzmPGeAQIXHYhVJ,Antisocial (with Travis Scott),2019-07-12
